GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Configuration,org.apache.commons.configuration.event,ConfigurationEvent,0,28,0,0,0,10,0,5,0,5
Commons Configuration,org.apache.commons.configuration.event,ConfigurationErrorEvent,0,14,0,0,0,4,0,2,0,2
Commons Configuration,org.apache.commons.configuration.event,EventSource,0,198,0,16,0,53,0,27,0,19
Commons Configuration,org.apache.commons.configuration.resolver,CatalogResolver.CatalogManager,8,54,5,3,3,22,4,9,0,9
Commons Configuration,org.apache.commons.configuration.resolver,CatalogResolver,27,134,3,9,6,37,3,13,0,10
Commons Configuration,org.apache.commons.configuration.resolver,DefaultEntityResolver,13,52,3,3,4,16,3,4,0,4
Commons Configuration,org.apache.commons.configuration.resolver,CatalogResolver.Catalog,73,175,10,12,15,42,8,7,0,4
Commons Configuration,org.apache.commons.configuration.tree.xpath,ConfigurationNodeIteratorBase,0,121,2,14,0,25,2,17,0,11
Commons Configuration,org.apache.commons.configuration.tree.xpath,XPathExpressionEngine,20,304,0,46,5,82,0,33,0,10
Commons Configuration,org.apache.commons.configuration.tree.xpath,ConfigurationNodePointer,9,132,1,21,4,33,3,23,2,13
Commons Configuration,org.apache.commons.configuration.tree.xpath,ConfigurationNodeIteratorChildren,0,114,0,24,0,34,0,15,0,3
Commons Configuration,org.apache.commons.configuration.tree.xpath,ConfigurationNodeIteratorAttribute,0,42,0,4,0,10,0,4,0,2
Commons Configuration,org.apache.commons.configuration.tree.xpath,ConfigurationNodePointerFactory,14,15,3,1,4,4,3,3,1,3
Commons Configuration,org.apache.commons.configuration.plist,PropertyListConfiguration.DateComponentParser,0,38,0,4,0,6,0,4,0,2
Commons Configuration,org.apache.commons.configuration.plist,XMLPropertyListConfiguration.ArrayNode,0,17,0,0,0,5,0,3,0,3
Commons Configuration,org.apache.commons.configuration.plist,XMLPropertyListConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2
Commons Configuration,org.apache.commons.configuration.plist,ParseException,182,189,22,10,34,32,20,5,2,3
Commons Configuration,org.apache.commons.configuration.plist,PropertyListParser.JJCalls,0,3,0,0,0,1,0,1,0,1
Commons Configuration,org.apache.commons.configuration.plist,XMLPropertyListConfiguration,143,465,15,41,29,99,13,28,2,11
Commons Configuration,org.apache.commons.configuration.plist,PropertyListConfiguration.DateSeparatorParser,0,51,0,2,0,9,0,4,0,3
Commons Configuration,org.apache.commons.configuration.plist,XMLPropertyListConfiguration.PListNode,29,105,3,3,8,30,2,11,0,10
Commons Configuration,org.apache.commons.configuration.plist,PropertyListParserConstants,0,124,0,0,0,1,0,1,0,1
Commons Configuration,org.apache.commons.configuration.plist,XMLPropertyListConfiguration.XMLPropertyListHandler,0,246,0,32,0,56,0,23,0,7
